Rank,Team,Player,Fantsy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
11,DAL,CeeDee Lamb,WR,2.07,10,26.9,248.70,728.00,1176.00,2142.00,"Lamb shared the spotlight with George Pickens, but he was still productive. He finished 2025 as WR10 in PPR points per game at 15.5. Lamb did have a short stint on IR after an AC joint sprain, but he remains an upside fantasy asset when healthy. At only 26, Lamb should be a fantasy mainstay for a long time. ",72.60
12,LVR,Ashton Jeanty,RB,2.05,8,22.3,253.00,644.00,1061.00,1853.00,"Jeanty went from a 1,900-yard sophomore season to a 2,700-yard junior season. His college tape showed elite contact balance, burst, and receiving ability. Arriving as the sixth overall pick, Jeanty showed elite flashes, most notably in a Week 16 game at Houston. Overall, Jeanty's effectiveness was limited by poor O-line and QB play. 2026 will bring major offensive changes, although Jeanty still projects as a workhorse.",72.00
13,DET,Amon-Ra St. Brown,WR,1.09,8,26.4,261.80,718.00,1156.00,2104.00,"The Lions faltered in 2025, but St. Brown kept producing. He ranked fourth in PPR points per game at 19.1. He also ranked second in the league in targets at 172. St. Brown and Jared Goff are both signed through the 2028 season.",71.20
14,NYG,Malik Nabers,WR,1.12,14,22.7,204.60,696.00,1179.00,2300.00,"A 25-target start over the first two games hinted at a huge 2025 for Nabers. Then a torn ACL cut the year short. The injury could cap his early-season impact in 2026, but the long-term dynasty outlook still looks strong. Nabers remains a premium talent tied to rising QB Jaxson Dart.",71.00
15,CIN,Joe Burrow,QB,1.10,10,29.3,327.20,942.00,1521.00,2877.00,"Burrow performed as a high-end QB1 in 2024. He was also one of the offseason winners in 2025, as Cincy retained WRs Ja’Marr Chase AND Tee Higgins on long-term deals. Then came a disastrous '25 season that was thrown off track by a Week 2 turf toe injury. Fortunately, Burrow returned and flashed his high-end upside on a couple of occasions. He should have multiple years of top-8 production remaining.",69.90
16,BAL,Lamar Jackson,QB,1.11,7,29.2,331.90,955.00,1558.00,2734.00,"Jackson posted an MVP-caliber 2024, resulting in a career-high 488 fantasy points. But injuries to his back and hamstring severely limited his fantasy output in 2025. In fact, Jackson delivered only three top-5 fantasy finishes -- each over the first three weeks of the season. Jackson is a bounce-back candidate for 2026, his age-29 season.",69.40
17,LAC,Omarion Hampton,RB,2.09,12,23,239.50,647.00,1018.00,1731.00,"Hampton carried the North Carolina offense for two years -- 2023-2024 -- including one year when Drake Maye was the QB. The former four-star recruit tallied two straight years of 1,500+ rushing yards and 15 TDs, and he adds solid receiving potential. A shifty runner who can hit the home run, Hampton showed his athleticism by crushing the Combine with a 4.48 40-yard dash and a 38"" vertical. While he landed in a dreamy spot with HC Jim Harbaugh and the Chargers, Hampton made only nine appearances due to an ankle fracture. If healthy, an RB1 season is in reach for '26 and beyond.",67.30
18,ATL,Drake London,WR,2.10,5,24.7,230.50,679.00,1116.00,2136.00,"London started the season hot but missed four games with a PCL strain. He still ended as the WR8 in PPR points per game at 16.8. Atlanta's current WR corps suggests another high-volume role in 2026. Only 25, London projects as a long-term WR1.",66.00
19,MIA,De'Von Achane,RB,2.08,12,24.4,243.30,648.00,1000.00,1598.00,"Achane's rushing efficiency hit a snag in 2024. But his receiving work went through the roof: 78 catches, 592 yards, and 6 TDs. Another easy RB1 season surfaced in 2025, although he'll now hit Year 4 alongside a new QB and HC -- and a rebuilding roster.",64.80
20,KC,Patrick Mahomes,QB,3.02,10,30.5,295.40,921.00,1505.00,2915.00,"Mahomes posted underwhelming production in 2024, ultimately finishing as the QB11. When healthy in 2025, he lacked consistency from week to week. Instead, he relied on rushing stats to finish as a top-5 fantasy QB pre-injury. Unfortunately, he suffered a December ACL/LCL tear that puts his availability for Week 1, 2026, in question. ",63.60
21,HOU,Nico Collins,WR,3.10,6,27,237.80,673.00,1091.00,2016.00,"Collins finished WR11 in PPR points per game in 2025 (15.1). Houston's struggles on offense made for a volatile season, but Collins came on late with C.J. Stroud and Davis Mills. He was a top-12 WR in a struggling offense, so the potential for even better results exists over the next few years. Collins is under contract through the 2027 season.",63.20
22,IND,Jonathan Taylor,RB,3.03,11,27.2,285.80,665.00,974.00,1353.00,"Taylor missed three games in 2024 but remained busy on a per-game basis, averaging 23 touches. The former Round 2 pick then went off for a HUGE 2025 that included 323 carries, 1,585 yards, and 18 TDs. He added a career-high 46 catches and 378 yards. Now, Taylor's huge career workload makes him a candidate for an early decline. In the short-term, though, this Indy offense should remain centered on the run. JT is signed for one more season.",63.00
23,NE,TreVeyon Henderson,RB,4.06,14,23.4,185.50,617.00,975.00,1609.00,"Henderson was highly recruited and showed top-end traits at Ohio State, particularly his burst and pass-catching ability. He ran as expected at the Combine with a 4.43 40-yard dash and tied for second among RBs with a 1.52 10-yard split. Henderson appeared in all 17 games as a rookie but wasn't a major contributor until midseason. (He finished as a top-25 PPR back in seven of his final nine games.) An elite QB and an improved O-line only add value here.",58.60
24,CHI,Caleb Williams,QB,2.02,5,24.3,316.30,889.00,1477.00,2881.00,"Williams showed the ability to make high-end throws as a rookie. But his tendency to hold the ball and take sacks led to a wildly inconsistent campaign. Fortunately, an improved O-line and an upgraded pass-catching corps arrived last offseason and immediately paid dividends. TE Colston Loveland and WR Luther Burden really showed promise and supply long-term building blocks. Williams should only improve as he gains time in HC Ben Johnson's system.",58.20
25,PHI,Jalen Hurts,QB,3.01,9,27.6,330.80,926.00,1481.00,2531.00,"Hurts set a career-high in passing TDs in 2025. However, his rushing production took a hit, leading to a career low in fantasy points per game. Hurts did manage to avoid missing time after a concussion cost him two games in 2024. He'll also enter 2026 with A.J. Brown, DeVonta Smith, and Saquon Barkley under contract. Dallas Goedert is slated for free agency.",52.20
26,LAC,Justin Herbert,QB,2.12,12,28,311.60,882.00,1440.00,2797.00,"Alongside new HC Jim Harbaugh, WR Ladd McConkey, and LT Joe Alt, Herbert played excellent real-life ball in 2024. However, he finished as a QB1 in only five of 17 games. The team added back Keenan Allen in 2025, plus spent early picks on RB Omarion Hampton and WR Tre Harris. The team even saw a quick rise from Round 5 TE Oronde Gadsden II. Herbert ultimately delivered a fine fantasy season with help from boosted rushing volume. But an injury-ravaged O-line and another Herbert injury -- this time to his hand -- limited what could have been an even better season. With plenty of talent around him, Herbert remains an upside QB1 alongside new OC Mike McDaniel.",50.90
27,DAL,George Pickens,WR,3.08,10,25,219.50,599.00,981.00,1843.00,"Coming off his best season (93-1,429-9), the Cowboys applied the franchise tag to Pickens in February. A long-term extension in Dallas might be the best-case scenario for Pickens' dynasty value. Just entering his prime, Pickens is an ascending talent with a ton of fantasy appeal. ",50.00
28,CAR,Tetairoa McMillan,WR,3.04,14,22.9,187.70,587.00,994.00,1940.00,"McMillan enjoyed a successful first season, finishing as the WR23 in fantasy points per game (12.6). The Panthers went run-heavy under QB Bryce Young, who struggled to provide consistency in the passing game. Still, McMillan was the clear No. 1 for a team short on receiving depth. He flashed excellent body control and improved as the season went on. There is star-level, top-tier potential with McMillan, who's only 23 years old. ",49.70
29,BUF,James Cook,RB,3.06,7,26.5,268.90,573.00,825.00,1216.00,"Cook erupted for a massive 18 total TDs in 2024. He posted another 14 scores this past fall, also supplying a career-high 1,621 rushing yards in 17 games. He inked a contract extension last August, keeping him under team control through the 2029 season.",48.30
30,KC,Rashee Rice,WR,5.04,10,25.9,232.70,579.00,944.00,1737.00,"Rice started 2025 with a six-game suspension and ended the season on IR with a concussion. In his eight games, he was consistently targeted by Patrick Mahomes, finishing as the WR5 in PPR points per game (18.5). Outside of injury risk, Rice appears to be the clear No. 1 WR on the Chiefs, and the scheme has been built to utilize his talents. We'll see what comes of his off-field issues, which include domestic abuse allegations.",46.50
31,KC,Kenneth Walker III,RB,4.11,10,25.4,240.00,535.00,815.00,1253.00,"Walker encountered an up-and-down regular season in 2025, limited by Zach Charbonnet's goal line role. When Charbonnet suffered a torn ACL in the postseason, Walker stepped up for a productive run to the Super Bowl. This culminated in a 161-yard, MVP performance. Walker chose an ideal landing spot in free agency, joining a Chiefs offense that no longer rosters Kareem Hunt or Isiah Pacheco.",44.90
32,CLE,Carson Schwesinger,LB,N/A,9,23.1,160,462,764,1431,"",44
33,LVR,Brock Bowers,TE,2.01,8,23.3,199.10,626.00,1018.00,1814.00,"Bowers disappointed in 2025 while dealing with a knee injury. He only played in 12 games and finished with 64-680-7 receiving. The talent is still undeniable, and Bowers should rebound alongside Fernando Mendoza in 2026.",43.80
34,TB,Emeka Egbuka,WR,4.01,9,23.4,182.80,535.00,943.00,1874.00,"Egbuka got off to a hot start, averaging 16.1 PPR points per game and ranking inside the top-10 WRs in the first 10 weeks of his rookie season. However, he would only top 50 yards once and didn't score a TD in Tampa's final eight games. Those first 10 games show Egbuka's potential. With Mike Evans leaving as a free agent, Egbuka will be in a position to open his sophomore campaign as the Buccaneers' No. 1 WR. While Baker Mayfield returns, the Bucs brought in a new OC in Zac Robinson. ",43.40
35,TEN,Cedric Gray,LB,N/A,10,23.4,158,454,751,1408,"",43
36,JAC,Trevor Lawrence,QB,3.07,8,26.4,321.00,850.00,1400.00,2724.00,"A shoulder injury limited Lawrence to only 10 games in 2024. Then in 2025, he rebounded tremendously under new HC Liam Coen. Lawrence tallied 4,007-29-12 -- plus nine rushing TDs. That propelled him to an overall QB4 fantasy finish. Lawrence's huge season came despite only seven games alongside rookie WR Travis Hunter. We also saw WR Brian Thomas Jr. take a major step back. Veteran Jakobi Meyers stepped up following a mid-season trade, as the team extended him through the 2028 season. Regardless of the pieces, Lawrence's stock is clearly on the rise.",42.90
37,ARI,Trey McBride,TE,2.03,8,26.3,211.50,601.00,979.00,1819.00,"McBride had a dominant 2025, breaking the single-season TE receptions record in Week 17. His fantasy season ended at 119-1174-11. QB play is a minor issue in the short term, but there's no doubt McBride remains an elite dynasty TE. ",42.40
38,CLE,Quinshon Judkins,RB,5.05,9,22.4,192.50,506.00,795.00,1345.00,"Judkins answered questions about his athleticism with a 4.48 40-yard dash at the NFL Combine and tied for second among RBs with a 1.52 10-yard split. His rookie season started nicely, but he was ultimately limited by a poor supporting cast. Judkins' season also ended with a Week 16 fibula fracture and ankle dislocation. Following surgery, he's expected to be ready for training camp, where he should retain lead-back work.",41.00
39,SF,Christian McCaffrey,RB,4.07,14,29.8,292.00,496.00,694.00,1124.00,"CMC was excellent in 2023, finishing as the clear-cut RB1. Then came a nightmare 2024 that included multiple lower-body injuries (and only 50 total carries). He rebounded to a PPR RB1 finish in 2025, boosted by a huge 102 catches. Of equal importance: CMC played all 17 games. He'll play next season at 30, signaling some dynasty risk.",38.80
40,NO,Chris Olave,WR,3.11,11,25.8,219.80,539.00,880.00,1618.00,"For only the second time in his career, Olave made it through 16 games. He capitalized with career highs in catches, yards, and TDs, finishing with a 100-1,163-9 line in Kellen Moore’s offense. The late-season QB play mattered, too: all three of his 100-yard games came with Tyler Shough under center. That combo gives Olave a sturdy setup for his age-26 season. He remains a strong WR2.",38.60
41,CIN,Tee Higgins,WR,6.01,10,27.2,201.50,558.00,891.00,1587.00,"2025 was another strong season for Higgins. He topped double-digit TDs for the second consecutive year and ranked as the WR16, averaging 14.0 PPR points per game. However, he missed three games with concussions -- the fourth time in five seasons that he's missed multiple games. The Bengals are running it back in 2026, so Higgins remains an excellent WR2 who should continue to post reliable WR1/2 numbers when healthy. ",38.60
42,BAL,Zay Flowers,WR,6.06,7,25.5,208.40,547.00,882.00,1540.00,"The Ravens disappointed in 2025, but Flowers still delivered a career year. He posted personal bests in targets (118), catches (86), and yards (1,211) while finishing as a top-10 fantasy WR for the first time. If Lamar Jackson stays healthy, Flowers has a good chance to repeat that level of production in 2026. Baltimore’s lack of pass-catching depth also points to another heavy role. The one variable is how Flowers is utilized in new OC Declan Doyle’s offense.",37.30
43,NYJ,Breece Hall,RB,4.12,9,24.8,219.10,496.00,755.00,1161.00,"A largely ineffective Aaron Rodgers limited Hall in 2024, while the RB also battled through a knee injury. 2025 turned up even worse QB play, although Hall still posted a career-high 1,065 rushing yards. He returned to the Jets via the franchise tag, while his situation improved a bit with the arrival of Geno Smith. Still, it's reasonable to expect Hall to play elsewhere in 2027 and beyond.",37.10
44,PHI,Saquon Barkley,RB,5.08,9,29.1,246.20,507.00,740.00,1014.00,"2023 turned up an ugly QB situation and poor efficiency on strong volume. Barkley expressed interest in returning to New York but ultimately joined a superior environment in Philly. From there, he enjoyed a historic 2024 with 2,005 yards and 15 total TDs. 2025 marked a clear step back, as Barkley no longer delivered a steady dose of explosive plays. He's signed for three more seasons.",36.00
45,LAC,Ladd McConkey,WR,4.09,12,24.3,185.50,535.00,885.00,1585.00,"The sophomore slump hit McConkey hard. After posting an impressive 2.59 yards per route run as a rookie, McConeky fell to 1.35 YPRR in Year Two. Keenan Allen also out-targted McConkey in 2025. Allen is a free agent, so there's reason to think McConkey can rebound in 2026. He's still a talented 24-year-old WR, making him a solid buy-low candidate alongside new OC Mike McDaniel. ",35.90
46,DET,Jameson Williams,WR,6.09,8,25,181.60,537.00,876.00,1586.00,"It took HC Dan Campbell's play-calling to finally unlock Williams, but he showed promise once he became a featured part of Detroit's offense. Under Campbell's playcalling, Williams averaged 16.1 PPR points per game (WR5) and posted three of his four 100-yard performances. Williams remains an elite deep threat, but he also ran the fifth-most routes in '25. He's improved every season and showcased why he should be an important part of Detroit's future. He's signed through the 2029 season.",35.70
47,RK,Makai Lemon,WR,5.09,18,21.8,173.10,511.00,866.00,1689.00,"Lemon may be the best contested catcher in the draft despite standing 5'11, 195 pounds. He was utilized in the slot and outside at USC on his way to winning the Biletnikoff Award in 2025. Lemon's ball tracking and explosiveness after the catch make him a dangerous weapon. They also signal an impactful PPR WR for fantasy, especially with expected Round 1 draft capital.",35.20
48,GB,Josh Jacobs,RB,6.11,5,28.1,255.70,505.00,727.00,937.00,"Injuries impacted Jacobs' effectiveness in 2025, but he still posted back-end RB1 numbers with 16.1 PPR points per game. He'll play next year at 27 -- and with a sizable 1,840 career carries. He's signed through the 2027 season.",35.00
49,NYJ,Garrett Wilson,WR,4.04,9,25.7,187.00,523.00,857.00,1610.00,"The Jets finished last in passing (140.3 yards per game) and 29th in scoring (17.6 points per game) last season. Predictably, Wilson's production plummeted. Injuries also contributed, as Wilson sprained his knee in Week 6, then re-injured it in Week 11. When he played, Wilson averaged 8.4 targets per game, which wasn't far off from 2024's average of 9.0. Before 2025, Wilson had not missed a game or failed to surpass 140 targets or 1,000 receiving yards in any season. He's still a dynamic talent entering his prime, but landing a legitimate QB will be paramount for Wilson's immediate and long-term value. ",34.90
50,RK,Sonny Styles,LB,N/A,18,21.3,119,369,637,1284,"",34.8
51,RK,Carnell Tate,WR,5.02,18,21.2,168.50,501.00,856.00,1723.00,"He took a backseat to Ohio State phenom Jeremiah Smith, but Tate flashed elite hand-eye coordination and hands last season. Tate knows how to beat the press and isn't afraid to make tough catches over the middle. His height and range make Tate a potential top-15 NFL Draft pick who can immediately make a fantasy impact.",34.40
52,DEN,Jaylen Waddle,WR,7.07,12,27.3,194.50,531.00,848.00,1510.00,"Tyreek Hill missed most of 2025, but Waddle still could not recapture the production he posted over his first three seasons. Poor QB play drove much of that decline. Now, that aspect of his profile looks better after a March trade to Denver. He projects as a co- No. 1 WR alongside Courtland Sutton.",33.80
53,PHI,A.J. Brown,WR,5.12,9,28.8,216.40,532.00,842.00,1449.00,"Brown posted his fourth consecutive season with 1,000-plus yards. He also scored 7 TDs for the third-straight season, but his overall fantasy scoring dropped by two points per game. Overall, Brown is still in his prime and locked into Philadelphia through the 2029 season. He remains a quality WR 2 with top-5 weekly upside. ",33.40
54,CHI,Luther Burden III,WR,5.06,5,22.3,188.90,496.00,840.00,1615.00,"Burden didn't play much in the first half of his rookie campaign, but starting in Week 10, he flashed fantasy upside. In his final eight games, Burden ranked second in Chicago's WR corps in target share (19%) and led the group in fantasy scoring with 11.4 PPR points per game. With DJ Moore in Buffalo, Burden has a chance to provide WR2 value in 2026 and beyond. ",32.80
55,PHI,DeVonta Smith,WR,7.02,9,27.3,189.70,519.00,841.00,1504.00,"Smith topped 1,000 yards for the third time in four seasons, but his target share fell from 28.6% (7th) to 24.3% (17th) in 2025. He also had a career-low four TDs. A.J. Brown's health certainly played a factor in the usage dip. Ultimately, Smith is a good No. 2 WR, but he tends to be erratic week-to-week for a low-volume passing game. If Brown sticks on the roster, Smith will retain a WR2 ceiling in the short term.",32.40
56,RK,Jordyn Tyson,WR,6.07,18,21.6,163.90,490.00,837.00,1685.00,"Tyson excelled at Arizona State in 2024, notching 74 catches for 1,101 yards and 10 TDs. He looked headed for another big year in 2025 after scoring 7 TDs in five games, but a hamstring injury ruined those plans. That setback adds to an extensive injury history that includes a torn ACL, PCL, and MCL in 2022, plus a broken collarbone in 2024. When healthy, Tyson shows good size, runs well enough to separate, and creates after the catch. That combination gives him top-20 potential in the NFL Draft.",31.90
57,GB,Edgerrin Cooper,LB,N/A,5,24.3,132,346,560,1015,"",30.1
58,CIN,Chase Brown,RB,4.05,10,26,229.30,444.00,656.00,1075.00,"After a quiet rookie year, Brown showed he belongs as a big piece of Cincy's backfield in 2024. He tallied 229-990-7 rushing -- plus 54-360-4 receiving. Brown notched similar numbers in 2025, despite significant missed time from Joe Burrow. 2026 turns up a contract season for the fourth-year RB.",29.50
59,CHI,Colston Loveland,TE,3.05,5,21.9,196.70,488.00,818.00,1570.00,"Loveland flashed elite potential in 2025, especially after a late-season injury to Rome Odunze. With DJ Moore off to Buffalo, Loveland's role should only grow in 2026 and beyond. He'll play his second season at only 22 years old.",29.30
60,TB,Bucky Irving,RB,5.03,9,23.6,189.60,437.00,691.00,1138.00,"Irving performed as one of the most elusive RBs in the 2024 class. From 2022 to 2023, he forced a missed tackle every 2.5 carries – a terrific mark. That elusiveness translated to the pros right away, as he tallied 5.4 yards per carry and 1,513 total yards. 2025 wasn't as friendly, as he missed six games with a foot injury and slotted just 18th in PPR points per game. In 2026, he'll likely see his volume capped by free agent addition Kenneth Gainwell, who posted 73 catches with the Steelers last season.",29.30
61,DET,Jack Campbell,LB,N/A,8,25.6,144,347,549,935,"",29.2
62,SF,Brock Purdy,QB,3.12,14,26.3,315.20,820.00,1344.00,2576.00,"Purdy missed a chunk of early-season games with turf toe. But he rebounded to finish as the QB4 in total points from Week 11 on. Purdy benefits from HC stability and a solid group of pass catchers, although Christian McCaffrey and George Kittle are likely nearing the end of their prime. San Francisco also added veteran Mike Evans on a multi-year deal. Purdy is under contract through the 2030 season.",28.50
63,PHI,Jihaad Campbell,LB,N/A,9,22.1,107,324,547,1057,"",28.5
64,LAR,Kyren Williams,RB,6.03,8,25.6,213.00,422.00,652.00,1117.00,"Williams further solidified himself as a top RB in 2024, logging 1,481 scrimmage yards and 16 TDs. L.A. spent a Round 3 pick on Blake Corum, but he was lightly used throughout the season. Williams signed an extension in August of '25, but Corum earned a larger piece of the backfield work. Still, Williams delivered 1,252 yards and hit double-digit TDs for the third straight season. We expect similar backfield usage in 2026.",27.40
65,JAC,Brian Thomas Jr.,WR,6.02,8,23.4,156.70,479.00,795.00,1545.00,"After a dynamic rookie showing, Thomas was one of the most disappointing players in 2025. He missed three games with an ankle injury, but when he did play, he struggled in Liam Coen's offense. Thomas dropped to 45th in target rate (20.4%), had zero games with more than 90 receiving yards, and was tied for worst in the league with 10 drops. Thomas showcased dynamic ability as a rookie and is still only 23, but his dynasty value took a massive hit in 2025. ",27.10
66,IND,Tyler Warren,TE,4.02,11,23.8,185.10,481.00,793.00,1496.00,"Warren's 2025 was a tale of two seasons. He dominated for the first half of the year, achieving top-5 TE numbers in PPR. But an injury to Daniel Jones led to an awful late-season surge for the rookie. Zooming out, the future still looks bright here, especially after the trade of Michael Pittman. Warren should be a featured part of the passing game moving forward. ",26.90
67,ARI,Marvin Harrison Jr.,WR,5.11,8,23.6,168.00,475.00,792.00,1520.00,"Injuries derailed Harrison's sophomore season, but his play also raised serious concerns. Harrison doesn't create separation or create after the catch. He ranked 70th with 1.6 yards after catch per target and dropped to 43rd with 10.5 PPR points per game. Meanwhile, lightly-regarded teammate Michael Wilson thrived with a new QB, planting further doubts about Harrison's future. The Cardinals will also be breaking in a new HC and are likely to part ways with QB Kyler Murray. Harrison has not lived up to his draft billing in his first two seasons and should be considered a risky candidate to rebound in what looks to be a tumultuous third season in Arizona.  ",26.70
68,NYG,Jaxson Dart,QB,2.11,14,22.8,306.90,790.00,1341.00,2653.00,"Dart flashed his arm talent as a true freshman at USC, but he was fully unlocked in 2024 at Ole Miss. He completed 69.3% of his passes for 4,279 yards, 29 TDs, and 6 INTs. With a quick release and improved coverage recognition, Dart quickly showed the potential to stick as an NFL starter. He also adds plenty of mobility to make a fantasy impact moving forward. While durability issues persist, Dart certainly carries top-10 potential if the Giants continue upgrading the offense. ",26.40
69,NYJ,Jamien Sherwood,LB,N/A,9,26.2,134,322,510,869,"",26.4
70,CLE,Harold Fannin Jr.,TE,4.10,9,21.7,168.80,430.00,791.00,1632.00,"Fannin not only took over the No. 1 TE spot -- he became the No. 1 offensive weapon for the Browns. He ended the 2025 fantasy season 72-731-6 on 107 targets, and that was playing with three different QBs. He enters 2026 at age 22 with his best days ahead.",25.80
71,GB,Jordan Love,QB,5.01,5,27.4,277.60,852.00,1375.00,2450.00,"In 2025, Love missed two games for the second straight season. When healthy, he flashed with three overall QB2 fantasy finishes. However, he tallied only one other finish inside the top-10. Overall, Love’s volume continued to stay low relative to his breakout 2023. Green Bay also remains without a true No. 1 WR, although it’s a huge positive that Christian Watson has looked strong in his return from an ACL tear. Romeo Doubs joined New England in free agency, putting more pressure on Matthew Golden's development. Love is under contract through the 2028 season.",25.00
72,LVR,Nakobe Dean,LB,N/A,8,25.3,130,302,486,852,"",23.7
73,RK,Fernando Mendoza,QB,4.03,18,22.5,236.40,798.00,1343.00,2690.00,"Mendoza posted two straight 3,000-yard passing seasons at Cal and Indiana and is slated to join Vegas in the NFL Draft. He displays a strong arm and great mid-range accuracy while showing toughness in the pocket. Mendoza can scramble some too, which should help his fantasy output. He lacks the upside of recent top QBs like Caleb Williams, but Mendoza has the potential to be a top-10 fantasy QB.",23.60
74,DEN,Bo Nix,QB,3.09,12,26.1,304.40,811.00,1321.00,2466.00,"As an older prospect at 24, Nix proved pro-ready alongside HC Sean Payton. Across 17 games, he tallied 3,775-29-12 -- plus 430-4 rushing. The 2025 offseason brought the arrival of veteran TE Evan Engram and Round 3 WR Pat Bryant, along with a new deal for Courtland Sutton. While Nix's play proved inconsistent, he still finished QB7 on a league-high 612 attempts. He also added 5 rushing TDs and finished tied for fifth in QB rush attempts. That aspect of Nix's game helps buoy his dynasty value.",23.50
75,KC,Nick Bolton,LB,N/A,10,26,123,307,486,828,"",23.4
76,SEA,Nick Emmanwori,DB,N/A,8,22.1,113,315,516,984,"",23.3
77,SF,Ricky Pearsall,WR,9.05,14,25.5,171.90,466.00,760.00,1404.00,"Injuries derailed Pearsall again in his second season. Having only played 20 of a possible 34 games in two seasons, Pearsall's inability to get on the field remains the biggest concern. When healthy, Pearsall showed promise, topping 85 yards and 13 PPR points in four of nine starts. However, he was also held to fewer than five PPR points in three. If he can ever get -- and stay -- healthy, Pearsall has dynamic WR2 potential. But until he plays a full season, Perasall remains a risk/reward dynasty target.  ",23.30
78,DAL,Dak Prescott,QB,4.08,10,32.7,314.60,826.00,1361.00,2250.00,"Dak’s 2024 was ruined by a hamstring injury that required surgery. But he rebounded with a healthy 2025 to post top-five fantasy totals (4,552 yards, 30 TDs, 10 INTs). We'll see about the status of George Pickens, but expect Dallas to retain him.",23.10
79,MIA,Jordyn Brooks,LB,N/A,12,28.4,142,306,473,755,"",22.9
